2025-07-09 15:55:38.607 | INFO | ConfigManager | watch:89 | 已注册配置监听器: test.*
2025-07-09 15:55:38.608 | INFO | ConfigManager | set:79 | 配置已更新: test.new_key = new_value
2025-07-09 15:55:38.610 | WARNING | ConfigManager | load_config:43 | 配置文件不存在: nonexistent_config.yaml
2025-07-09 15:55:38.612 | ERROR | ConfigManager | load_config:46 | 加载配置文件失败 C:\Users\donny\AppData\Local\Temp\tmpu10xknwp.yaml: mapping values are not allowed here
  in "C:\Users\donny\AppData\Local\Temp\tmpu10xknwp.yaml", line 1, column 14
2025-07-09 15:55:38.615 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpc228x50z.yaml
2025-07-09 15:55:38.615 | INFO | ConfigManager | watch:89 | 已注册配置监听器: system.name
2025-07-09 15:55:38.615 | ERROR | ConfigManager | _notify_change:132 | 配置变更回调执行失败 system.name: 测试异常
2025-07-09 15:55:38.618 | INFO | ConfigManager | set:79 | 配置已更新: system.name = Error Test
2025-07-09 15:55:38.622 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpga40vgeq.yaml
2025-07-09 15:55:38.622 | INFO | ConfigManager | set:79 | 配置已更新: system.version = 5.0.0
2025-07-09 15:55:38.622 | INFO | ConfigManager | set:79 | 配置已更新: new.section = {'key': 'value'}
2025-07-09 15:55:38.628 | INFO | ConfigManager | save:120 | 配置已保存: C:\Users\donny\AppData\Local\Temp\tmpga40vgeq.yaml
2025-07-09 15:56:06.762 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpxwggesvy.yaml
2025-07-09 15:56:06.777 | INFO | ConfigManager | set:79 | 配置已更新: system.version = 2.0.0
2025-07-09 15:56:06.777 | INFO | ConfigManager | set:79 | 配置已更新: new.section.value = 123
2025-07-09 15:56:06.777 | INFO | ConfigManager | set:79 | 配置已更新: features.cache.size = 2000
2025-07-09 15:56:06.780 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpe28gfemw.yaml
2025-07-09 15:56:06.781 | INFO | ConfigManager | watch:89 | 已注册配置监听器: system.version
2025-07-09 15:56:06.781 | INFO | ConfigManager | set:79 | 配置已更新: system.version = 3.0.0
2025-07-09 15:56:06.781 | INFO | ConfigManager | watch:89 | 已注册配置监听器: system.*
2025-07-09 15:56:06.781 | INFO | ConfigManager | set:79 | 配置已更新: system.name = New System
2025-07-09 15:56:06.782 | INFO | ConfigManager | watch:89 | 已注册配置监听器: *
2025-07-09 15:56:06.782 | INFO | ConfigManager | set:79 | 配置已更新: database.host = newhost
2025-07-09 15:56:06.784 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpeqifod93.yaml
2025-07-09 15:56:06.784 | INFO | ConfigManager | watch:89 | 已注册配置监听器: *
2025-07-09 15:56:06.888 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpeqifod93.yaml
2025-07-09 15:56:06.889 | INFO | ConfigManager | reload:106 | 配置文件已热重载
2025-07-09 15:56:06.893 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmp05_cp6rq.yaml
2025-07-09 15:56:06.894 | INFO | ConfigManager | set:79 | 配置已更新: test.key = test_value
2025-07-09 15:56:06.895 | INFO | ConfigManager | watch:89 | 已注册配置监听器: test.*
2025-07-09 15:56:06.895 | INFO | ConfigManager | set:79 | 配置已更新: test.new_key = new_value
2025-07-09 15:56:06.896 | WARNING | ConfigManager | load_config:43 | 配置文件不存在: nonexistent_config.yaml
2025-07-09 15:56:06.898 | ERROR | ConfigManager | load_config:46 | 加载配置文件失败 C:\Users\donny\AppData\Local\Temp\tmp3t3d_chg.yaml: mapping values are not allowed here
  in "C:\Users\donny\AppData\Local\Temp\tmp3t3d_chg.yaml", line 1, column 14
2025-07-09 15:56:06.901 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpbc2u_j9q.yaml
2025-07-09 15:56:06.902 | INFO | ConfigManager | watch:89 | 已注册配置监听器: system.name
2025-07-09 15:56:06.902 | ERROR | ConfigManager | _notify_change:132 | 配置变更回调执行失败 system.name: 测试异常
2025-07-09 15:56:06.903 | INFO | ConfigManager | set:79 | 配置已更新: system.name = Error Test
2025-07-09 15:56:06.908 | INFO | ConfigManager | load_config:41 | 配置文件已加载: C:\Users\donny\AppData\Local\Temp\tmpg9kxyt88.yaml
2025-07-09 15:56:06.908 | INFO | ConfigManager | set:79 | 配置已更新: system.version = 5.0.0
2025-07-09 15:56:06.909 | INFO | ConfigManager | set:79 | 配置已更新: new.section = {'key': 'value'}
2025-07-09 15:56:06.910 | INFO | ConfigManager | save:120 | 配置已保存: C:\Users\donny\AppData\Local\Temp\tmpg9kxyt88.yaml
2025-07-09 20:44:19.335 | INFO | EventBus | start:82 | EventBus 'TestBus' engines started
2025-07-09 20:44:19.335 | INFO | ServiceRegistry | start:47 | ServiceRegistry started
2025-07-09 20:44:19.335 | INFO | ServiceRegistry | handle_register:65 | Service registered: TestService
2025-07-09 20:44:19.549 | INFO | ServiceRegistry | handle_unregister:79 | Service unregistered: TestService
2025-07-09 20:44:19.751 | INFO | ServiceRegistry | handle_register:65 | Service registered: HeartBeatService
2025-07-09 20:44:20.256 | INFO | ServiceRegistry | handle_register:65 | Service registered: S0
2025-07-09 20:44:20.256 | INFO | ServiceRegistry | handle_register:65 | Service registered: S1
2025-07-09 20:44:20.256 | INFO | ServiceRegistry | handle_register:65 | Service registered: S2
2025-07-09 20:44:20.763 | INFO | ServiceRegistry | handle_register:65 | Service registered: TimeoutService
2025-07-09 20:44:23.766 | INFO | ServiceRegistry | handle_register:65 | Service registered: C0
2025-07-09 20:44:23.766 | INFO | ServiceRegistry | handle_register:65 | Service registered: C1
2025-07-09 20:44:23.766 | INFO | ServiceRegistry | handle_register:65 | Service registered: C2
2025-07-09 20:44:23.766 | INFO | ServiceRegistry | handle_register:65 | Service registered: C3
2025-07-09 20:44:23.766 | INFO | ServiceRegistry | handle_register:65 | Service registered: C4
2025-07-09 20:44:23.770 | INFO | ServiceRegistry | handle_register:65 | Service registered: C5
2025-07-09 20:44:23.770 | INFO | ServiceRegistry | handle_register:65 | Service registered: C6
2025-07-09 20:44:23.770 | INFO | ServiceRegistry | handle_register:65 | Service registered: C7
2025-07-09 20:44:23.770 | INFO | ServiceRegistry | handle_register:65 | Service registered: C8
2025-07-09 20:44:23.770 | INFO | ServiceRegistry | handle_register:65 | Service registered: C9
2025-07-09 20:44:24.273 | ERROR | EventBus | _invoke_handlers:342 | Handler error for service.register: 'name'
2025-07-09 20:44:24.273 | INFO | ServiceRegistry | handle_register:65 | Service registered: DupService
2025-07-09 20:44:24.273 | INFO | ServiceRegistry | handle_register:65 | Service registered: DupService
2025-07-09 20:44:24.767 | INFO | ServiceRegistry | stop:53 | ServiceRegistry stopped
2025-07-09 20:44:25.350 | INFO | EventBus | _stop_sync:141 | Sync engine stopped for TestBus
2025-07-09 20:44:26.351 | INFO | EventBus | _stop_async:226 | Async engine stopped for TestBus
2025-07-09 20:44:26.351 | INFO | EventBus | stop:88 | EventBus 'TestBus' engines stopped
