2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 策略 minimal_strategy 初始化完成
2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 最小策略启动
2025-07-12 10:15:09.931 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 订阅行情: ['FG509']
2025-07-12 10:15:10.042 | INFO | DataService | _handle_data_subscribe:816 | 处理数据订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.043 | INFO | DataService | subscribe_market_data:579 | 策略 minimal_strategy 订阅行情: ['FG509']
2025-07-12 10:15:10.043 | INFO | MarketDataGateway | _handle_gateway_subscribe:303 | 网关收到订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.044 | WARNING | MarketDataGateway | _handle_gateway_subscribe:307 | 网关未就绪，延迟处理订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.044 | INFO | MarketDataGateway | _queue_pending_subscription:146 | 订阅请求已加入队列: 策略=minimal_strategy, 队列长度=1
2025-07-12 10:15:10.045 | INFO | DataService | _handle_data_subscribe:822 | 订阅处理成功: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:10.045 | INFO | BaseStrategy | write_log:537 | [minimal_strategy] 策略 minimal_strategy 启动成功
2025-07-12 10:15:10.045 | INFO | WebServer | event_monitor:424 | WebSocket推送事件: strategy.started -> 1 个连接
2025-07-12 10:15:10.046 | INFO | TradingEngine | start_strategy:210 | 策略启动成功: MinimalStrategy (UUID: e29c917c-7368-499d-9fc0-724d0ee1e123)
2025-07-12 10:15:19.252 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:15:19.253 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:15:20.061 | WARNING | DataService | _check_subscription_timeout:646 | 订阅超时: FG509 (策略: minimal_strategy)
2025-07-12 10:15:20.063 | INFO | DataService | _check_subscription_timeout:653 | 重试订阅: FG509 (第1次)
2025-07-12 10:15:20.063 | INFO | DataService | _retry_subscription:665 | 重试订阅: FG509 (策略: minimal_strategy)
2025-07-12 10:15:20.064 | INFO | MarketDataGateway | _handle_gateway_subscribe:303 | 网关收到订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:20.064 | WARNING | MarketDataGateway | _handle_gateway_subscribe:307 | 网关未就绪，延迟处理订阅请求: 策略=minimal_strategy, 合约=['FG509']
2025-07-12 10:15:20.064 | INFO | MarketDataGateway | _queue_pending_subscription:146 | 订阅请求已加入队列: 策略=minimal_strategy, 队列长度=2
2025-07-12 10:15:49.271 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:15:49.273 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:16:49.280 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:16:49.280 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:17:19.291 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:17:19.291 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:17:49.312 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:17:49.313 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:18:19.320 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:18:19.320 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:18:49.345 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:18:49.345 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:19:19.363 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:19:19.364 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:19:49.389 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:19:49.390 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:20:19.417 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:20:19.419 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:20:29.800 | INFO | ConfigManager | load_config:41 | 配置文件已加载: config\system.yaml
2025-07-12 10:20:29.801 | INFO | ConfigManager | reload:106 | 配置文件已热重载
2025-07-12 10:20:29.801 | INFO | Main | _main_loop:402 | 配置文件已重新加载
2025-07-12 10:20:36.887 | INFO | ConfigManager | load_config:41 | 配置文件已加载: config\system.yaml
2025-07-12 10:20:36.888 | INFO | ConfigManager | reload:106 | 配置文件已热重载
2025-07-12 10:20:36.888 | INFO | Main | _main_loop:402 | 配置文件已重新加载
2025-07-12 10:20:49.429 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:20:49.429 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:21:19.452 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:21:19.452 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:21:28.494 | INFO | ConfigManager | load_config:41 | 配置文件已加载: config\system.yaml
2025-07-12 10:21:28.495 | INFO | ConfigManager | reload:106 | 配置文件已热重载
2025-07-12 10:21:28.495 | INFO | Main | _main_loop:402 | 配置文件已重新加载
2025-07-12 10:22:19.457 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:22:19.458 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:22:49.461 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:22:49.462 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:23:49.483 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:23:49.484 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:24:19.493 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:24:19.494 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:24:49.515 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:24:49.516 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:25:19.536 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:25:19.538 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:25:49.554 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:25:49.555 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:26:19.564 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:26:19.565 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:26:49.586 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:26:49.587 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:27:19.606 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:27:19.607 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:28:19.608 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:28:19.609 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:28:49.610 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:28:49.612 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:29:19.628 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:29:19.631 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:29:49.644 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:29:49.645 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:30:19.647 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:30:19.647 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:30:49.655 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:30:49.656 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:31:19.668 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:31:19.669 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:31:49.674 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:31:49.675 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:32:19.698 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:32:19.699 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:32:49.718 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:32:49.719 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:33:19.747 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:33:19.748 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:34:19.753 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:34:19.754 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:34:49.768 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:34:49.769 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:35:19.793 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:35:19.794 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:35:49.809 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:35:49.810 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:36:19.827 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:36:19.828 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:37:19.821 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:37:19.821 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:38:19.813 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:38:19.814 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:38:49.823 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:38:49.824 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:39:19.833 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:39:19.834 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
2025-07-12 10:39:49.857 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到账户查询请求
2025-07-12 10:39:49.857 | INFO | BaseGateway | write_log:187 | [CTP_TD] 收到持仓查询请求
